x,y,z
-0.000168,-0.001018,3.4e-05
-0.004464360973599688,-0.0014257019874232679,7.605329673694281e-05
-0.009265953057453534,-0.00219512332798335,0.00015468578336493222
-0.005199756280006016,-0.0037596458041657815,0.00024721083283239526
-0.007782979467812482,-0.001628783105359772,0.00043233664591387855
-0.008738827821291118,-0.002445052214132039,0.0007146443947990376
-0.01301867929011517,-0.0025674369578730766,0.0009803376668548944
-0.00905229910546948,-0.0003928219217677548,0.0013009546570391212
-0.0075496384324335065,0.0022451056436691625,0.0015350421829105052
-0.0019147774443590516,0.0012447491513988328,0.002029505987822839
-0.00036680068821507653,-0.0032348984857814202,0.0026234503090153223
-0.002349685871921333,-0.007442277960728586,0.003511176441088901
-0.00218508599105156,-0.011086825382287429,0.003974994622862148
-0.0033738625403664574,-0.015684216512417547,0.004185375396432511
-0.0044134715435253736,-0.01908883098682797,0.004453519210035829
-0.005816095527781845,-0.025710405592237126,0.004325106234597127
-0.006512815248945255,-0.028324532246622163,0.005253110884054413
-0.007862949082161329,-0.03373318209148813,0.005653631934391569
-0.007885031852245431,-0.03591920731348319,0.005769895400898242
-0.010294256323393586,-0.04079384836369409,0.0064199827938828434
-0.011164290600858367,-0.042535204159113396,0.006782383475412756
-0.013195293153074106,-0.04596177289919386,0.007349502025796452
-0.013530479226434253,-0.04811998087139055,0.0074711770438568685
-0.01610080232873168,-0.04996161146668638,0.007390916603545019
-0.016726059733733215,-0.05119409214494213,0.0077533554154941165
-0.02027239036014107,-0.05404149448128741,0.008159696750953006
-0.019984781816044943,-0.05576971933248951,0.008387738710683
-0.02269875328212573,-0.05814639820702167,0.00830961299845684
-0.021274508960636325,-0.059513435077855024,0.008513804040440345
-0.025529453987204652,-0.06296672523262556,0.008583547832967256
-0.027034172517484682,-0.06542490090153176,0.00865862584293302
-0.03217194828044671,-0.06754031539923795,0.008660174762044094
-0.03280815818850386,-0.06986271497837122,0.00850371212015203
-0.0371275765482654,-0.07164227503037765,0.008629925008649713
-0.038607600255437205,-0.07462094795262166,0.00903899239945923
-0.042067940403535925,-0.07531959513122448,0.008720731401259648
-0.045284265702990996,-0.07956085108460947,0.00893194907112871
-0.047824211359985165,-0.08196577183081928,0.009010087455479918
-0.05053025321928668,-0.08598011893744908,0.009206812060948295
-0.05278793974267113,-0.08762811692917057,0.008988084565739768
-0.05563873698193407,-0.09080813377269319,0.00908960211862031
-0.057274661311393554,-0.09084712318341295,0.009121029631758783
-0.05942414535485352,-0.09133091038072792,0.009044400713437425
-0.06343165381201399,-0.09160765302407252,0.009088448339126075
-0.06406170129518925,-0.0915266802277391,0.009408626297969656
-0.06532426505267783,-0.08863902406243153,0.009428264615380993
-0.061079262066924996,-0.08208161414923537,0.009556650542197348
-0.057098837442552064,-0.08279013294348994,0.009674490434899272
-0.056111197444353306,-0.08383296504124403,0.009641126012588349
-0.05450947044628143,-0.0836792448125384,0.009767759893748429
-0.053377638107311935,-0.08330938897015469,0.009679343980087376
-0.053484112743819694,-0.08411945290742891,0.00991763600641375
-0.05154912255109799,-0.08516320060370569,0.009928801664300498
-0.05007929843755503,-0.08427675188314615,0.010113340967492777
-0.048651636291159504,-0.08472339177228022,0.01020558209382543
-0.0455905535425805,-0.08347643157582806,0.010480551057745764
-0.04313196060525302,-0.08336946067774166,0.010547858518130665
-0.0421583535664122,-0.08250351998136647,0.010599435155243232
-0.042193920138384224,-0.08362990569341339,0.010778944996753735
-0.04087053669240509,-0.08220740954611162,0.010763545049321335
-0.03884252721313102,-0.08067119347191218,0.010774837803523592
-0.037981123937499146,-0.08023111880285336,0.010921332384708533
-0.03761291941978665,-0.08011656002806185,0.011371364504319399
-0.035278818062051895,-0.07802129126930145,0.01169910846167855
-0.03519159723718466,-0.07609021738329196,0.011863676988185499
-0.033081982294585206,-0.07263661953666252,0.011855933757546872
-0.031163681508705535,-0.07114600894219468,0.01229168666167836
-0.028642232806740213,-0.069450369846258,0.012227906013303562
-0.02807056627528222,-0.0661748901994652,0.012090330954059718
-0.027771510851786693,-0.06545848533607035,0.012090882740689923
-0.024242538313607894,-0.06462969622689954,0.012352130566180867
-0.020563119936753683,-0.062331633504725946,0.012641445937063962
-0.018116598470558368,-0.060045739047850294,0.012930386662235345
-0.01644220529496769,-0.059717067953294185,0.013176985560571532
-0.014241012597779386,-0.05971311779653145,0.013261285529676143
-0.01226832927601636,-0.05880933544793888,0.013609374322306425
-0.011172790186157223,-0.05796501058499733,0.013703751593967898
-0.00979121525108425,-0.057800465857105826,0.013729521612855582
-0.00762121882499211,-0.05715372216964326,0.013777936349458002
-0.005846698980516661,-0.056216131983815226,0.014221846123881282
-0.0054477217120491375,-0.05501471190371611,0.014305136510061406
-0.004865920441403579,-0.05470149643136083,0.014481055619424884
-0.0038745475745266857,-0.05286594809953086,0.014760172629015652
-0.0028907894191032304,-0.05188730402267322,0.015325595460008092
-0.0044393955253725125,-0.05094042880889717,0.015887078953284294
-0.0047904337350543995,-0.04911931072667856,0.015847493554077063
-0.00260494491244915,-0.04611291732677093,0.016139467000242127
-0.0009998879219727695,-0.043161580007182496,0.016507201582578682
-0.0013794547422676874,-0.04020094151514334,0.016549181758221777
-0.002167360216365529,-0.03690751602071634,0.01667712159635838
-0.002192088856168789,-0.03430633263929137,0.017019779112908945
-0.0014060742167497171,-0.03248049902457965,0.017146624630070547
-0.0019942372496794896,-0.03143027710493602,0.01685668107926026
-0.0017979031564402293,-0.029997302927327725,0.017016879167895838
-0.0009730032982538853,-0.026868397731366893,0.01716830924793342
0.0011471999117924265,-0.022891402643262917,0.017625254733886247
0.0008745506415061756,-0.020748245120177287,0.017645240209673767
0.0005669163698950161,-0.018821047099018936,0.017666465211958707
0.0014892902391362983,-0.01727118725890075,0.017809033435985666
0.002803187790161309,-0.015517118699611289,0.018042663570818074
